BANK_CODE,SOL-Bank Id ,Bank Name
7010,1,BANK OF CEYLON
7038,2,STANDARD CHARTERED BANK
7047,3,CITY BANK N.A
7056,4,COMMERCIAL BANK
7074,5,HABIB BANK LTD
7083,6,HATTON NATIONAL BANK
7092,7,HONGKONG AND SHANGHAI BANK
7108,8,INDIAN BANK
7117,9,INDIAN OVERSEAS BANK
7135,10,PEOPLES BANK
7144,11,STATE BANK OF INDIA
7153,12,UNION BANK OF PAKISTAN
7162,13,NATIONS TRUST BANK
7205,14,DEUTSCHE BANK
7214,15,NDB BANK
7269,16,MUSLIM COMMERCIAL BANK
7278,17,SAMPATH BANK
7287,18,SEYLAN BANK
7296,19,PUBLIC BANK BERHAD
7302,20,UNION BANK OF COLOMBO
7311,21,PAN ASIA BANKING CORPORATION
7384,22,ICICI BANK
7454,23,DFCC BANK PLC
7463,24,AMANA BANK PLC
7472,25,AXIS BANK
7481,26,CARGILLS BANK LTD
7719,27,NATIONAL SAVINGS BANK
7728,28,SANASA DEVELOPMENT BANK
7737,29,HDFC BANK LTD
7746,30,CITIZENS DEVELOPMENT BUSINESS
7755,31,REGIONAL DEVELOPMENT BANK
7764,32,STATE MORTGAGE & INVESTMENT BANK
7773,33,LB FINANCE PLC
7782,34,SENKADAGALA FINANCE PLC
7807,35,COMMERCIAL LEASING AND FINANCE PLC
7816,36,VALLIBEL FINANCE PLC
7825,37,CENTRAL FINANCE COMPANY PLC
7834,38,KANRICH FINANCE  LTD
7852,39,ALLIANCE FINANCE COMPANY PLC
7861,40,LANKA ORIX FINANCE PLC
7870,41,COMMERCIAL CREDIT & FINANCE PLC
7898,42,MERCHANT BANK OF SL AND FINANCE PLC
7913,43,MERCANTILE INVESTMENT AND FINANCE PLC
7922,44,PEOPLES LEASING & FINANCE PLC
8004,45,CENTRAL BANK OF SRI LANKA
